Ticker,Date,Time,Expiry Date,Open,High,Low,Close,Volume,Open Interest,Padding Flag
BANKNIFTY31JUL2548600PE.NFO,2025-06-27,09:44:00,2025-07-31,11.05,11.05,11.05,11.05,0,0,0
BANKNIFTY31JUL2548600PE.NFO,2025-06-27,09:45:00,2025-07-31,11.05,11.05,11.05,11.05,0,0,0
BANKNIFTY31JUL2548600PE.NFO,2025-06-27,09:46:00,2025-07-31,11.05,11.05,11.05,11.05,0,0,0
BANKNIFTY31JUL2548600PE.NFO,2025-06-27,09:47:00,2025-07-31,11.05,11.05,11.05,11.05,0,0,0
BANKNIFTY31JUL2548600PE.NFO,2025-06-27,09:48:00,2025-07-31,11.05,11.05,11.05,11.05,0,0,0
BANKNIFTY31JUL2548600PE.NFO,2025-06-27,09:49:00,2025-07-31,11.05,12.0,11.05,12.0,0,70,0
BANKNIFTY31JUL2548600PE.NFO,2025-06-27,09:50:00,2025-07-31,12.0,12.0,12.0,12.0,35,70,0
BANKNIFTY31JUL2548600PE.NFO,2025-06-27,09:51:00,2025-07-31,12.0,12.0,12.0,12.0,0,70,0
BANKNIFTY31JUL2548600PE.NFO,2025-06-27,09:52:00,2025-07-31,12.0,12.0,12.0,12.0,0,70,0
BANKNIFTY31JUL2548600PE.NFO,2025-06-27,09:53:00,2025-07-31,12.0,12.0,12.0,12.0,0,70,0
BANKNIFTY31JUL2548600PE.NFO,2025-06-27,09:54:00,2025-07-31,12.0,12.0,12.0,12.0,0,70,0
BANKNIFTY31JUL2548600PE.NFO,2025-06-27,09:55:00,2025-07-31,12.0,12.0,12.0,12.0,0,70,0
BANKNIFTY31JUL2548600PE.NFO,2025-06-27,09:56:00,2025-07-31,12.0,12.0,12.0,12.0,0,70,0
BANKNIFTY31JUL2548600PE.NFO,2025-06-27,09:57:00,2025-07-31,12.0,12.0,12.0,12.0,0,70,0
BANKNIFTY31JUL2548600PE.NFO,2025-06-27,09:58:00,2025-07-31,12.0,12.0,12.0,12.0,0,70,0
BANKNIFTY31JUL2548600PE.NFO,2025-06-27,09:59:00,2025-07-31,12.0,12.0,12.0,12.0,0,70,0
BANKNIFTY31JUL2548600PE.NFO,2025-06-27,10:00:00,2025-07-31,12.0,12.0,12.0,12.0,0,70,0
BANKNIFTY31JUL2548600PE.NFO,2025-06-27,10:01:00,2025-07-31,12.0,12.0,12.0,12.0,0,70,0
BANKNIFTY31JUL2548600PE.NFO,2025-06-27,10:02:00,2025-07-31,12.0,12.0,12.0,12.0,0,70,1
BANKNIFTY31JUL2548600PE.NFO,2025-06-27,10:03:00,2025-07-31,12.0,12.0,12.0,12.0,0,70,0
BANKNIFTY31JUL2548600PE.NFO,2025-06-27,10:04:00,2025-07-31,12.0,12.0,12.0,12.0,0,70,0
BANKNIFTY31JUL2548600PE.NFO,2025-06-27,10:05:00,2025-07-31,12.0,12.0,12.0,12.0,0,70,0
BANKNIFTY31JUL2548600PE.NFO,2025-06-27,10:06:00,2025-07-31,12.0,12.0,12.0,12.0,0,70,1
BANKNIFTY31JUL2548600PE.NFO,2025-06-27,10:07:00,2025-07-31,12.0,12.0,12.0,12.0,0,70,0
BANKNIFTY31JUL2548600PE.NFO,2025-06-27,10:08:00,2025-07-31,12.0,12.0,12.0,12.0,0,70,0
BANKNIFTY31JUL2548600PE.NFO,2025-06-27,10:09:00,2025-07-31,12.0,12.0,12.0,12.0,0,70,0
BANKNIFTY31JUL2548600PE.NFO,2025-06-27,10:10:00,2025-07-31,12.0,12.0,12.0,12.0,0,70,0
BANKNIFTY31JUL2548600PE.NFO,2025-06-27,10:11:00,2025-07-31,12.0,12.0,12.0,12.0,0,70,0
BANKNIFTY31JUL2548600PE.NFO,2025-06-27,10:12:00,2025-07-31,12.0,12.0,12.0,12.0,0,70,0
BANKNIFTY31JUL2548600PE.NFO,2025-06-27,10:13:00,2025-07-31,12.0,12.0,8.45,8.45,35,105,0
BANKNIFTY31JUL2548600PE.NFO,2025-06-27,10:14:00,2025-07-31,8.45,8.45,8.45,8.45,0,105,0
BANKNIFTY31JUL2548600PE.NFO,2025-06-27,10:15:00,2025-07-31,8.45,8.45,8.45,8.45,0,105,0
BANKNIFTY31JUL2548600PE.NFO,2025-06-27,10:16:00,2025-07-31,8.45,8.45,8.45,8.45,0,105,0
BANKNIFTY31JUL2548600PE.NFO,2025-06-27,10:17:00,2025-07-31,8.45,8.45,8.45,8.45,0,105,0
BANKNIFTY31JUL2548600PE.NFO,2025-06-27,10:18:00,2025-07-31,8.45,8.45,8.45,8.45,0,105,0
BANKNIFTY31JUL2548600PE.NFO,2025-06-27,10:19:00,2025-07-31,8.45,8.45,8.45,8.45,0,105,0
BANKNIFTY31JUL2548600PE.NFO,2025-06-27,10:20:00,2025-07-31,8.45,8.45,8.45,8.45,0,105,0
BANKNIFTY31JUL2548600PE.NFO,2025-06-27,10:21:00,2025-07-31,8.45,8.45,8.45,8.45,0,105,0
BANKNIFTY31JUL2548600PE.NFO,2025-06-27,10:22:00,2025-07-31,8.45,8.45,8.45,8.45,0,105,1
BANKNIFTY31JUL2548600PE.NFO,2025-06-27,10:23:00,2025-07-31,8.45,8.45,8.45,8.45,0,105,1
BANKNIFTY31JUL2548600PE.NFO,2025-06-27,10:24:00,2025-07-31,8.45,8.45,8.45,8.45,0,105,0
BANKNIFTY31JUL2548600PE.NFO,2025-06-27,10:25:00,2025-07-31,8.45,8.45,8.45,8.45,0,105,0
BANKNIFTY31JUL2548600PE.NFO,2025-06-27,10:26:00,2025-07-31,8.45,8.45,8.45,8.45,0,105,0
BANKNIFTY31JUL2548600PE.NFO,2025-06-27,10:27:00,2025-07-31,8.45,8.45,8.45,8.45,0,105,0
BANKNIFTY31JUL2548600PE.NFO,2025-06-27,10:28:00,2025-07-31,8.45,8.45,8.45,8.45,0,105,0
BANKNIFTY31JUL2548600PE.NFO,2025-06-27,10:29:00,2025-07-31,8.45,8.45,8.45,8.45,0,105,0
BANKNIFTY31JUL2548600PE.NFO,2025-06-27,10:30:00,2025-07-31,8.45,8.45,8.45,8.45,0,105,0
BANKNIFTY31JUL2548600PE.NFO,2025-06-27,10:31:00,2025-07-31,8.45,8.45,8.45,8.45,0,105,0
BANKNIFTY31JUL2548600PE.NFO,2025-06-27,10:32:00,2025-07-31,8.45,8.45,8.45,8.45,0,105,0
BANKNIFTY31JUL2548600PE.NFO,2025-06-27,10:33:00,2025-07-31,8.45,8.45,8.45,8.45,0,105,0
BANKNIFTY31JUL2548600PE.NFO,2025-06-27,10:34:00,2025-07-31,8.45,8.45,8.45,8.45,0,105,0
BANKNIFTY31JUL2548600PE.NFO,2025-06-27,10:35:00,2025-07-31,8.45,8.45,8.45,8.45,0,105,0
BANKNIFTY31JUL2548600PE.NFO,2025-06-27,10:36:00,2025-07-31,8.45,8.45,8.45,8.45,0,105,0
BANKNIFTY31JUL2548600PE.NFO,2025-06-27,10:37:00,2025-07-31,8.45,8.45,8.45,8.45,0,105,0
BANKNIFTY31JUL2548600PE.NFO,2025-06-27,10:38:00,2025-07-31,8.45,8.45,8.45,8.45,0,105,0
BANKNIFTY31JUL2548600PE.NFO,2025-06-27,10:39:00,2025-07-31,8.45,8.45,8.45,8.45,0,105,0
BANKNIFTY31JUL2548600PE.NFO,2025-06-27,10:40:00,2025-07-31,8.45,8.45,8.45,8.45,0,105,0
BANKNIFTY31JUL2548600PE.NFO,2025-06-27,10:41:00,2025-07-31,8.45,8.45,8.45,8.45,0,105,0
BANKNIFTY31JUL2548600PE.NFO,2025-06-27,10:42:00,2025-07-31,10.1,10.1,10.1,10.1,35,105,0
BANKNIFTY31JUL2548600PE.NFO,2025-06-27,10:43:00,2025-07-31,10.1,10.1,10.1,10.1,35,105,1
BANKNIFTY31JUL2548600PE.NFO,2025-06-27,10:44:00,2025-07-31,10.1,10.1,10.1,10.1,0,105,0
BANKNIFTY31JUL2548600PE.NFO,2025-06-27,10:45:00,2025-07-31,10.1,10.1,10.1,10.1,0,105,0
BANKNIFTY31JUL2548600PE.NFO,2025-06-27,10:46:00,2025-07-31,10.1,10.1,10.1,10.1,0,105,0
BANKNIFTY31JUL2548600PE.NFO,2025-06-27,10:47:00,2025-07-31,10.1,10.1,10.1,10.1,0,105,1
BANKNIFTY31JUL2548600PE.NFO,2025-06-27,10:48:00,2025-07-31,10.1,10.1,10.1,10.1,0,105,0
BANKNIFTY31JUL2548600PE.NFO,2025-06-27,10:49:00,2025-07-31,10.1,10.1,10.1,10.1,0,105,0
BANKNIFTY31JUL2548600PE.NFO,2025-06-27,10:50:00,2025-07-31,10.1,10.1,10.1,10.1,0,105,0
BANKNIFTY31JUL2548600PE.NFO,2025-06-27,10:51:00,2025-07-31,10.1,10.1,10.1,10.1,0,105,0
BANKNIFTY31JUL2548600PE.NFO,2025-06-27,10:52:00,2025-07-31,10.1,10.1,10.1,10.1,0,105,0
BANKNIFTY31JUL2548600PE.NFO,2025-06-27,10:53:00,2025-07-31,10.1,10.1,10.1,10.1,0,105,0
BANKNIFTY31JUL2548600PE.NFO,2025-06-27,10:54:00,2025-07-31,10.1,10.1,10.1,10.1,0,105,0
BANKNIFTY31JUL2548600PE.NFO,2025-06-27,10:55:00,2025-07-31,10.1,10.1,10.1,10.1,0,105,0
BANKNIFTY31JUL2548600PE.NFO,2025-06-27,10:56:00,2025-07-31,10.1,10.1,10.1,10.1,0,105,0
BANKNIFTY31JUL2548600PE.NFO,2025-06-27,10:57:00,2025-07-31,10.1,10.1,10.1,10.1,0,105,0
BANKNIFTY31JUL2548600PE.NFO,2025-06-27,10:58:00,2025-07-31,10.1,10.1,10.1,10.1,0,105,0
BANKNIFTY31JUL2548600PE.NFO,2025-06-27,10:59:00,2025-07-31,10.1,10.1,10.1,10.1,0,105,1
BANKNIFTY31JUL2548600PE.NFO,2025-06-27,11:00:00,2025-07-31,10.1,10.1,10.1,10.1,0,105,0
BANKNIFTY31JUL2548600PE.NFO,2025-06-27,11:01:00,2025-07-31,10.1,10.1,10.1,10.1,0,105,1
BANKNIFTY31JUL2548600PE.NFO,2025-06-27,11:02:00,2025-07-31,10.1,10.1,10.1,10.1,0,105,0
BANKNIFTY31JUL2548600PE.NFO,2025-06-27,11:03:00,2025-07-31,10.1,10.1,10.1,10.1,0,105,1
BANKNIFTY31JUL2548600PE.NFO,2025-06-27,11:04:00,2025-07-31,10.1,10.1,10.1,10.1,0,105,1
BANKNIFTY31JUL2548600PE.NFO,2025-06-27,11:05:00,2025-07-31,10.1,10.1,10.1,10.1,0,105,0
BANKNIFTY31JUL2548600PE.NFO,2025-06-27,11:06:00,2025-07-31,10.1,10.1,10.1,10.1,0,105,1
BANKNIFTY31JUL2548600PE.NFO,2025-06-27,11:07:00,2025-07-31,10.1,10.1,10.1,10.1,0,105,1
BANKNIFTY31JUL2548600PE.NFO,2025-06-27,11:08:00,2025-07-31,10.1,10.1,10.1,10.1,0,105,1
BANKNIFTY31JUL2548600PE.NFO,2025-06-27,11:09:00,2025-07-31,10.1,10.1,10.1,10.1,0,105,0
BANKNIFTY31JUL2548600PE.NFO,2025-06-27,11:10:00,2025-07-31,10.1,10.1,10.1,10.1,0,105,0
BANKNIFTY31JUL2548600PE.NFO,2025-06-27,11:11:00,2025-07-31,10.1,10.1,10.1,10.1,0,105,1
BANKNIFTY31JUL2548600PE.NFO,2025-06-27,11:12:00,2025-07-31,10.1,10.1,10.1,10.1,0,105,0
BANKNIFTY31JUL2548600PE.NFO,2025-06-27,11:13:00,2025-07-31,10.1,10.1,10.1,10.1,0,105,1
BANKNIFTY31JUL2548600PE.NFO,2025-06-27,11:14:00,2025-07-31,10.1,10.1,10.1,10.1,0,105,1
BANKNIFTY31JUL2548600PE.NFO,2025-06-27,11:15:00,2025-07-31,10.1,10.1,10.1,10.1,0,105,0
BANKNIFTY31JUL2548600PE.NFO,2025-06-27,11:16:00,2025-07-31,10.1,10.1,10.1,10.1,0,105,0
BANKNIFTY31JUL2548600PE.NFO,2025-06-27,11:17:00,2025-07-31,10.1,10.1,10.1,10.1,0,105,1
BANKNIFTY31JUL2548600PE.NFO,2025-06-27,11:18:00,2025-07-31,10.1,10.1,10.1,10.1,0,105,0
BANKNIFTY31JUL2548600PE.NFO,2025-06-27,11:19:00,2025-07-31,10.1,10.1,10.1,10.1,0,105,0
BANKNIFTY31JUL2548600PE.NFO,2025-06-27,11:20:00,2025-07-31,10.1,10.1,10.1,10.1,0,105,0
BANKNIFTY31JUL2548600PE.NFO,2025-06-27,11:21:00,2025-07-31,10.1,10.1,10.1,10.1,0,105,0
BANKNIFTY31JUL2548600PE.NFO,2025-06-27,11:22:00,2025-07-31,10.1,10.1,10.1,10.1,0,105,0
BANKNIFTY31JUL2548600PE.NFO,2025-06-27,11:23:00,2025-07-31,10.1,10.1,10.1,10.1,0,105,1
BANKNIFTY31JUL2548600PE.NFO,2025-06-27,11:24:00,2025-07-31,10.1,10.1,10.1,10.1,0,105,1
BANKNIFTY31JUL2548600PE.NFO,2025-06-27,11:25:00,2025-07-31,10.1,10.1,10.1,10.1,0,105,0
BANKNIFTY31JUL2548600PE.NFO,2025-06-27,11:26:00,2025-07-31,10.1,10.1,10.1,10.1,0,105,1
BANKNIFTY31JUL2548600PE.NFO,2025-06-27,11:27:00,2025-07-31,10.1,10.1,10.1,10.1,0,105,1
BANKNIFTY31JUL2548600PE.NFO,2025-06-27,11:28:00,2025-07-31,10.1,10.1,10.1,10.1,0,105,1
BANKNIFTY31JUL2548600PE.NFO,2025-06-27,11:29:00,2025-07-31,10.1,10.1,10.1,10.1,0,105,1
BANKNIFTY31JUL2548600PE.NFO,2025-06-27,11:30:00,2025-07-31,10.1,10.1,10.1,10.1,0,105,1
BANKNIFTY31JUL2548600PE.NFO,2025-06-27,11:31:00,2025-07-31,10.1,10.1,10.1,10.1,0,105,1
BANKNIFTY31JUL2548600PE.NFO,2025-06-27,11:32:00,2025-07-31,10.1,10.1,10.1,10.1,0,105,1
BANKNIFTY31JUL2548600PE.NFO,2025-06-27,11:33:00,2025-07-31,10.1,10.1,10.1,10.1,0,105,1
BANKNIFTY31JUL2548600PE.NFO,2025-06-27,11:34:00,2025-07-31,11.0,11.0,11.0,11.0,35,140,0
BANKNIFTY31JUL2548600PE.NFO,2025-06-27,11:35:00,2025-07-31,11.0,11.0,11.0,11.0,0,140,0
BANKNIFTY31JUL2548600PE.NFO,2025-06-27,11:36:00,2025-07-31,11.0,11.0,11.0,11.0,0,140,0
BANKNIFTY31JUL2548600PE.NFO,2025-06-27,11:37:00,2025-07-31,11.0,11.0,11.0,11.0,0,140,0
BANKNIFTY31JUL2548600PE.NFO,2025-06-27,11:38:00,2025-07-31,11.0,11.0,9.0,9.0,70,140,0
BANKNIFTY31JUL2548600PE.NFO,2025-06-27,11:39:00,2025-07-31,9.0,9.0,9.0,9.0,0,140,0
BANKNIFTY31JUL2548600PE.NFO,2025-06-27,11:40:00,2025-07-31,9.0,9.0,9.0,9.0,0,140,0
BANKNIFTY31JUL2548600PE.NFO,2025-06-27,11:41:00,2025-07-31,9.0,9.0,9.0,9.0,0,140,0
BANKNIFTY31JUL2548600PE.NFO,2025-06-27,11:42:00,2025-07-31,9.0,9.0,9.0,9.0,0,140,0
BANKNIFTY31JUL2548600PE.NFO,2025-06-27,11:43:00,2025-07-31,9.0,9.0,9.0,9.0,0,140,0
BANKNIFTY31JUL2548600PE.NFO,2025-06-27,11:44:00,2025-07-31,9.0,9.0,9.0,9.0,0,140,0
BANKNIFTY31JUL2548600PE.NFO,2025-06-27,11:45:00,2025-07-31,9.0,9.0,9.0,9.0,0,140,0
BANKNIFTY31JUL2548600PE.NFO,2025-06-27,11:46:00,2025-07-31,9.0,9.0,9.0,9.0,0,140,0
BANKNIFTY31JUL2548600PE.NFO,2025-06-27,11:47:00,2025-07-31,9.0,9.0,9.0,9.0,0,140,0
BANKNIFTY31JUL2548600PE.NFO,2025-06-27,11:48:00,2025-07-31,9.0,9.0,9.0,9.0,0,140,1
BANKNIFTY31JUL2548600PE.NFO,2025-06-27,11:49:00,2025-07-31,9.0,9.0,9.0,9.0,0,140,0
BANKNIFTY31JUL2548600PE.NFO,2025-06-27,11:50:00,2025-07-31,9.0,9.0,9.0,9.0,0,140,1
BANKNIFTY31JUL2548600PE.NFO,2025-06-27,11:51:00,2025-07-31,9.0,9.0,9.0,9.0,0,140,1
BANKNIFTY31JUL2548600PE.NFO,2025-06-27,11:52:00,2025-07-31,9.0,9.0,9.0,9.0,0,140,1
BANKNIFTY31JUL2548600PE.NFO,2025-06-27,11:53:00,2025-07-31,9.0,9.0,9.0,9.0,0,140,0
BANKNIFTY31JUL2548600PE.NFO,2025-06-27,11:54:00,2025-07-31,9.0,9.0,9.0,9.0,0,140,1
BANKNIFTY31JUL2548600PE.NFO,2025-06-27,11:55:00,2025-07-31,9.0,9.0,9.0,9.0,0,140,1
BANKNIFTY31JUL2548600PE.NFO,2025-06-27,11:56:00,2025-07-31,9.0,9.0,9.0,9.0,0,140,1
BANKNIFTY31JUL2548600PE.NFO,2025-06-27,11:57:00,2025-07-31,9.0,9.0,9.0,9.0,0,140,0
BANKNIFTY31JUL2548600PE.NFO,2025-06-27,11:58:00,2025-07-31,9.0,9.0,9.0,9.0,0,140,1
BANKNIFTY31JUL2548600PE.NFO,2025-06-27,11:59:00,2025-07-31,9.0,9.0,9.0,9.0,0,140,1
BANKNIFTY31JUL2548600PE.NFO,2025-06-27,12:00:00,2025-07-31,9.0,9.0,9.0,9.0,0,140,1
BANKNIFTY31JUL2548600PE.NFO,2025-06-27,12:01:00,2025-07-31,9.0,9.0,9.0,9.0,0,140,1
BANKNIFTY31JUL2548600PE.NFO,2025-06-27,12:02:00,2025-07-31,9.0,9.0,9.0,9.0,0,140,1
BANKNIFTY31JUL2548600PE.NFO,2025-06-27,12:03:00,2025-07-31,9.0,9.0,9.0,9.0,0,140,1
BANKNIFTY31JUL2548600PE.NFO,2025-06-27,12:04:00,2025-07-31,9.0,9.0,9.0,9.0,0,140,0
BANKNIFTY31JUL2548600PE.NFO,2025-06-27,12:05:00,2025-07-31,9.0,9.0,9.0,9.0,0,140,1
BANKNIFTY31JUL2548600PE.NFO,2025-06-27,12:06:00,2025-07-31,9.0,9.0,9.0,9.0,0,140,0
BANKNIFTY31JUL2548600PE.NFO,2025-06-27,12:07:00,2025-07-31,9.0,9.0,9.0,9.0,0,140,1
BANKNIFTY31JUL2548600PE.NFO,2025-06-27,12:08:00,2025-07-31,9.0,9.0,9.0,9.0,0,140,0
BANKNIFTY31JUL2548600PE.NFO,2025-06-27,12:09:00,2025-07-31,9.0,9.0,9.0,9.0,0,140,1
BANKNIFTY31JUL2548600PE.NFO,2025-06-27,12:10:00,2025-07-31,9.0,9.0,9.0,9.0,0,140,0
BANKNIFTY31JUL2548600PE.NFO,2025-06-27,12:11:00,2025-07-31,9.0,9.0,9.0,9.0,0,140,1
BANKNIFTY31JUL2548600PE.NFO,2025-06-27,12:12:00,2025-07-31,9.0,9.0,9.0,9.0,0,140,0
BANKNIFTY31JUL2548600PE.NFO,2025-06-27,12:13:00,2025-07-31,9.0,9.0,9.0,9.0,0,140,1
BANKNIFTY31JUL2548600PE.NFO,2025-06-27,12:14:00,2025-07-31,9.0,9.0,9.0,9.0,0,140,1
BANKNIFTY31JUL2548600PE.NFO,2025-06-27,12:15:00,2025-07-31,9.0,9.0,9.0,9.0,0,140,1
BANKNIFTY31JUL2548600PE.NFO,2025-06-27,12:16:00,2025-07-31,9.0,9.0,9.0,9.0,0,140,1
BANKNIFTY31JUL2548600PE.NFO,2025-06-27,12:17:00,2025-07-31,9.0,9.0,9.0,9.0,0,140,1
BANKNIFTY31JUL2548600PE.NFO,2025-06-27,12:18:00,2025-07-31,9.0,9.0,9.0,9.0,0,140,1
BANKNIFTY31JUL2548600PE.NFO,2025-06-27,12:19:00,2025-07-31,9.0,9.0,9.0,9.0,0,140,1
BANKNIFTY31JUL2548600PE.NFO,2025-06-27,12:20:00,2025-07-31,9.0,9.0,9.0,9.0,0,140,0
BANKNIFTY31JUL2548600PE.NFO,2025-06-27,12:21:00,2025-07-31,9.0,9.0,9.0,9.0,0,140,0
BANKNIFTY31JUL2548600PE.NFO,2025-06-27,12:22:00,2025-07-31,9.0,9.0,9.0,9.0,0,140,1
BANKNIFTY31JUL2548600PE.NFO,2025-06-27,12:23:00,2025-07-31,9.0,9.0,9.0,9.0,0,140,1
BANKNIFTY31JUL2548600PE.NFO,2025-06-27,12:24:00,2025-07-31,9.0,9.0,9.0,9.0,0,140,1
BANKNIFTY31JUL2548600PE.NFO,2025-06-27,12:25:00,2025-07-31,9.0,9.0,9.0,9.0,0,140,1
BANKNIFTY31JUL2548600PE.NFO,2025-06-27,12:26:00,2025-07-31,9.0,9.0,9.0,9.0,0,140,1
BANKNIFTY31JUL2548600PE.NFO,2025-06-27,12:27:00,2025-07-31,9.0,9.0,9.0,9.0,0,140,0
BANKNIFTY31JUL2548600PE.NFO,2025-06-27,12:28:00,2025-07-31,9.0,9.0,9.0,9.0,0,140,1
BANKNIFTY31JUL2548600PE.NFO,2025-06-27,12:29:00,2025-07-31,9.0,9.0,9.0,9.0,0,140,0
BANKNIFTY31JUL2548600PE.NFO,2025-06-27,12:30:00,2025-07-31,9.0,9.0,9.0,9.0,0,140,1
BANKNIFTY31JUL2548600PE.NFO,2025-06-27,12:31:00,2025-07-31,9.0,9.0,9.0,9.0,0,140,1
BANKNIFTY31JUL2548600PE.NFO,2025-06-27,12:32:00,2025-07-31,9.0,9.0,9.0,9.0,0,140,1
BANKNIFTY31JUL2548600PE.NFO,2025-06-27,12:33:00,2025-07-31,9.0,9.0,9.0,9.0,0,140,1
BANKNIFTY31JUL2548600PE.NFO,2025-06-27,12:34:00,2025-07-31,9.0,9.0,9.0,9.0,0,140,1
BANKNIFTY31JUL2548600PE.NFO,2025-06-27,12:35:00,2025-07-31,9.0,9.0,9.0,9.0,0,140,1
BANKNIFTY31JUL2548600PE.NFO,2025-06-27,12:36:00,2025-07-31,9.0,9.0,9.0,9.0,0,140,1
BANKNIFTY31JUL2548600PE.NFO,2025-06-27,12:37:00,2025-07-31,9.0,9.0,9.0,9.0,0,140,1
BANKNIFTY31JUL2548600PE.NFO,2025-06-27,12:38:00,2025-07-31,9.0,9.0,9.0,9.0,0,140,0
BANKNIFTY31JUL2548600PE.NFO,2025-06-27,12:39:00,2025-07-31,9.0,9.0,9.0,9.0,0,140,1
BANKNIFTY31JUL2548600PE.NFO,2025-06-27,12:40:00,2025-07-31,9.0,9.0,9.0,9.0,0,140,1
BANKNIFTY31JUL2548600PE.NFO,2025-06-27,12:41:00,2025-07-31,9.0,9.0,9.0,9.0,0,140,1
BANKNIFTY31JUL2548600PE.NFO,2025-06-27,12:42:00,2025-07-31,9.0,9.0,9.0,9.0,0,140,1
BANKNIFTY31JUL2548600PE.NFO,2025-06-27,12:43:00,2025-07-31,9.0,9.0,9.0,9.0,0,140,1
BANKNIFTY31JUL2548600PE.NFO,2025-06-27,12:44:00,2025-07-31,9.0,9.0,9.0,9.0,0,140,1
BANKNIFTY31JUL2548600PE.NFO,2025-06-27,12:45:00,2025-07-31,9.0,9.0,9.0,9.0,0,140,1
BANKNIFTY31JUL2548600PE.NFO,2025-06-27,12:46:00,2025-07-31,9.0,9.0,9.0,9.0,0,140,0
BANKNIFTY31JUL2548600PE.NFO,2025-06-27,12:47:00,2025-07-31,9.0,9.0,9.0,9.0,0,140,1
BANKNIFTY31JUL2548600PE.NFO,2025-06-27,12:48:00,2025-07-31,9.0,9.0,9.0,9.0,0,140,1
BANKNIFTY31JUL2548600PE.NFO,2025-06-27,12:49:00,2025-07-31,9.0,9.0,9.0,9.0,0,140,0
BANKNIFTY31JUL2548600PE.NFO,2025-06-27,12:50:00,2025-07-31,9.0,9.0,9.0,9.0,0,140,0
BANKNIFTY31JUL2548600PE.NFO,2025-06-27,12:51:00,2025-07-31,9.0,9.0,9.0,9.0,0,140,1
BANKNIFTY31JUL2548600PE.NFO,2025-06-27,12:52:00,2025-07-31,9.0,9.0,9.0,9.0,0,140,1
BANKNIFTY31JUL2548600PE.NFO,2025-06-27,12:53:00,2025-07-31,9.0,9.0,9.0,9.0,0,140,0
BANKNIFTY31JUL2548600PE.NFO,2025-06-27,12:54:00,2025-07-31,9.0,9.0,9.0,9.0,0,140,1
BANKNIFTY31JUL2548600PE.NFO,2025-06-27,12:55:00,2025-07-31,9.0,9.0,9.0,9.0,0,140,0
BANKNIFTY31JUL2548600PE.NFO,2025-06-27,12:56:00,2025-07-31,9.0,9.95,9.0,9.95,0,70,0
BANKNIFTY31JUL2548600PE.NFO,2025-06-27,12:57:00,2025-07-31,9.95,9.95,9.95,9.95,35,70,0
BANKNIFTY31JUL2548600PE.NFO,2025-06-27,12:58:00,2025-07-31,9.95,9.95,9.95,9.95,0,70,0
BANKNIFTY31JUL2548600PE.NFO,2025-06-27,12:59:00,2025-07-31,9.95,9.95,9.95,9.95,0,70,0
BANKNIFTY31JUL2548600PE.NFO,2025-06-27,13:00:00,2025-07-31,9.95,9.95,9.95,9.95,0,70,0
BANKNIFTY31JUL2548600PE.NFO,2025-06-27,13:01:00,2025-07-31,9.95,9.95,9.95,9.95,0,70,1
BANKNIFTY31JUL2548600PE.NFO,2025-06-27,13:02:00,2025-07-31,9.95,9.95,9.95,9.95,0,70,1
BANKNIFTY31JUL2548600PE.NFO,2025-06-27,13:03:00,2025-07-31,9.95,9.95,9.95,9.95,0,70,0
BANKNIFTY31JUL2548600PE.NFO,2025-06-27,13:04:00,2025-07-31,9.95,9.95,9.95,9.95,35,105,0
BANKNIFTY31JUL2548600PE.NFO,2025-06-27,13:05:00,2025-07-31,9.95,9.95,9.95,9.95,0,105,0
BANKNIFTY31JUL2548600PE.NFO,2025-06-27,13:06:00,2025-07-31,9.95,9.95,9.95,9.95,0,105,0
BANKNIFTY31JUL2548600PE.NFO,2025-06-27,13:07:00,2025-07-31,9.95,9.95,9.95,9.95,0,105,0
BANKNIFTY31JUL2548600PE.NFO,2025-06-27,13:08:00,2025-07-31,9.95,9.95,9.8,9.8,35,140,0
BANKNIFTY31JUL2548600PE.NFO,2025-06-27,13:09:00,2025-07-31,9.8,9.8,9.8,9.8,0,140,0
