Ticker,Date,Time,Expiry Date,Open,High,Low,Close,Volume,Open Interest,Padding Flag
FINNIFTY13FEB2421250CE.NFO,2024-01-20,14:55:00,2024-02-13,66.0,66.0,66.0,66.0,0,0,1
FINNIFTY13FEB2421250CE.NFO,2024-01-20,14:56:00,2024-02-13,66.0,66.0,66.0,66.0,0,0,1
FINNIFTY13FEB2421250CE.NFO,2024-01-20,14:57:00,2024-02-13,66.0,66.0,66.0,66.0,0,0,1
FINNIFTY13FEB2421250CE.NFO,2024-01-20,14:58:00,2024-02-13,66.0,66.0,66.0,66.0,0,0,1
FINNIFTY13FEB2421250CE.NFO,2024-01-20,14:59:00,2024-02-13,66.0,66.0,66.0,66.0,0,0,1
FINNIFTY13FEB2421250CE.NFO,2024-01-20,15:00:00,2024-02-13,66.0,66.0,66.0,66.0,0,0,1
FINNIFTY13FEB2421250CE.NFO,2024-01-20,15:01:00,2024-02-13,66.0,66.0,66.0,66.0,0,0,1
FINNIFTY13FEB2421250CE.NFO,2024-01-20,15:02:00,2024-02-13,66.0,66.0,66.0,66.0,0,0,1
FINNIFTY13FEB2421250CE.NFO,2024-01-20,15:03:00,2024-02-13,66.0,66.0,66.0,66.0,0,0,1
FINNIFTY13FEB2421250CE.NFO,2024-01-20,15:04:00,2024-02-13,66.0,66.0,66.0,66.0,0,0,1
FINNIFTY13FEB2421250CE.NFO,2024-01-20,15:05:00,2024-02-13,66.0,66.0,66.0,66.0,0,0,1
FINNIFTY13FEB2421250CE.NFO,2024-01-20,15:06:00,2024-02-13,66.0,66.0,66.0,66.0,0,0,1
FINNIFTY13FEB2421250CE.NFO,2024-01-20,15:07:00,2024-02-13,66.0,66.0,66.0,66.0,0,0,1
FINNIFTY13FEB2421250CE.NFO,2024-01-20,15:08:00,2024-02-13,66.0,66.0,66.0,66.0,0,0,1
FINNIFTY13FEB2421250CE.NFO,2024-01-20,15:09:00,2024-02-13,66.0,66.0,66.0,66.0,0,0,1
FINNIFTY13FEB2421250CE.NFO,2024-01-20,15:10:00,2024-02-13,66.0,66.0,66.0,66.0,0,0,1
FINNIFTY13FEB2421250CE.NFO,2024-01-20,15:11:00,2024-02-13,66.0,66.0,66.0,66.0,0,0,1
FINNIFTY13FEB2421250CE.NFO,2024-01-20,15:12:00,2024-02-13,66.0,66.0,66.0,66.0,0,0,1
FINNIFTY13FEB2421250CE.NFO,2024-01-20,15:13:00,2024-02-13,66.0,66.0,66.0,66.0,0,0,1
FINNIFTY13FEB2421250CE.NFO,2024-01-20,15:14:00,2024-02-13,66.0,66.0,66.0,66.0,0,0,1
FINNIFTY13FEB2421250CE.NFO,2024-01-20,15:15:00,2024-02-13,66.0,66.0,66.0,66.0,0,0,1
FINNIFTY13FEB2421250CE.NFO,2024-01-20,15:16:00,2024-02-13,66.0,66.0,66.0,66.0,0,0,1
FINNIFTY13FEB2421250CE.NFO,2024-01-20,15:17:00,2024-02-13,66.0,66.0,66.0,66.0,0,0,1
FINNIFTY13FEB2421250CE.NFO,2024-01-20,15:18:00,2024-02-13,66.0,66.0,66.0,66.0,0,0,1
FINNIFTY13FEB2421250CE.NFO,2024-01-20,15:19:00,2024-02-13,66.0,66.0,66.0,66.0,0,0,1
FINNIFTY13FEB2421250CE.NFO,2024-01-20,15:20:00,2024-02-13,66.0,66.0,66.0,66.0,0,0,1
FINNIFTY13FEB2421250CE.NFO,2024-01-20,15:21:00,2024-02-13,66.0,66.0,66.0,66.0,0,0,1
FINNIFTY13FEB2421250CE.NFO,2024-01-20,15:22:00,2024-02-13,66.0,66.0,66.0,66.0,0,0,1
FINNIFTY13FEB2421250CE.NFO,2024-01-20,15:23:00,2024-02-13,66.0,66.0,66.0,66.0,0,0,1
FINNIFTY13FEB2421250CE.NFO,2024-01-20,15:24:00,2024-02-13,66.0,66.0,66.0,66.0,0,0,1
FINNIFTY13FEB2421250CE.NFO,2024-01-20,15:25:00,2024-02-13,66.0,66.0,66.0,66.0,0,0,1
FINNIFTY13FEB2421250CE.NFO,2024-01-20,15:26:00,2024-02-13,66.0,66.0,66.0,66.0,0,0,1
FINNIFTY13FEB2421250CE.NFO,2024-01-20,15:27:00,2024-02-13,66.0,66.0,66.0,66.0,0,0,1
FINNIFTY13FEB2421250CE.NFO,2024-01-20,15:28:00,2024-02-13,66.0,66.0,66.0,66.0,0,0,1
FINNIFTY13FEB2421250CE.NFO,2024-01-20,15:29:00,2024-02-13,66.0,66.0,66.0,66.0,0,0,1
FINNIFTY13FEB2421250CE.NFO,2024-01-20,15:30:00,2024-02-13,66.0,66.0,66.0,66.0,0,0,1
FINNIFTY13FEB2421250CE.NFO,2024-02-01,09:15:00,2024-02-13,41.25,41.25,41.25,41.25,0,0,1
FINNIFTY13FEB2421250CE.NFO,2024-02-01,09:16:00,2024-02-13,41.25,41.25,41.25,41.25,0,0,1
FINNIFTY13FEB2421250CE.NFO,2024-02-01,09:17:00,2024-02-13,41.25,41.25,41.25,41.25,0,0,1
FINNIFTY13FEB2421250CE.NFO,2024-02-01,09:18:00,2024-02-13,41.25,41.25,41.25,41.25,0,0,1
FINNIFTY13FEB2421250CE.NFO,2024-02-01,09:19:00,2024-02-13,41.25,41.25,41.25,41.25,0,0,1
FINNIFTY13FEB2421250CE.NFO,2024-02-01,09:20:00,2024-02-13,41.25,41.25,41.25,41.25,0,0,1
FINNIFTY13FEB2421250CE.NFO,2024-02-01,09:21:00,2024-02-13,41.25,41.25,41.25,41.25,0,0,1
FINNIFTY13FEB2421250CE.NFO,2024-02-01,09:22:00,2024-02-13,41.25,41.25,41.25,41.25,0,0,1
FINNIFTY13FEB2421250CE.NFO,2024-02-01,09:23:00,2024-02-13,41.25,41.25,41.25,41.25,0,0,1
FINNIFTY13FEB2421250CE.NFO,2024-02-01,09:24:00,2024-02-13,41.25,41.25,41.25,41.25,0,0,1
FINNIFTY13FEB2421250CE.NFO,2024-02-01,09:25:00,2024-02-13,41.25,41.25,41.25,41.25,0,0,1
FINNIFTY13FEB2421250CE.NFO,2024-02-01,09:26:00,2024-02-13,41.25,41.25,41.25,41.25,0,0,1
FINNIFTY13FEB2421250CE.NFO,2024-02-01,09:27:00,2024-02-13,41.25,41.25,41.25,41.25,0,0,1
FINNIFTY13FEB2421250CE.NFO,2024-02-01,09:28:00,2024-02-13,41.25,41.25,41.25,41.25,0,0,1
FINNIFTY13FEB2421250CE.NFO,2024-02-01,09:29:00,2024-02-13,41.25,41.25,41.25,41.25,0,0,1
FINNIFTY13FEB2421250CE.NFO,2024-02-01,09:30:00,2024-02-13,41.25,41.25,41.25,41.25,0,0,1
FINNIFTY13FEB2421250CE.NFO,2024-02-01,09:31:00,2024-02-13,41.25,41.25,41.25,41.25,0,0,1
FINNIFTY13FEB2421250CE.NFO,2024-02-01,09:32:00,2024-02-13,41.25,41.25,41.25,41.25,0,0,1
FINNIFTY13FEB2421250CE.NFO,2024-02-01,09:33:00,2024-02-13,41.25,41.25,41.25,41.25,0,0,1
FINNIFTY13FEB2421250CE.NFO,2024-02-01,09:34:00,2024-02-13,41.25,41.25,41.25,41.25,0,0,1
FINNIFTY13FEB2421250CE.NFO,2024-02-01,09:35:00,2024-02-13,41.25,41.25,41.25,41.25,0,0,1
FINNIFTY13FEB2421250CE.NFO,2024-02-01,09:36:00,2024-02-13,41.25,41.25,41.25,41.25,0,0,1
FINNIFTY13FEB2421250CE.NFO,2024-02-01,09:37:00,2024-02-13,41.25,41.25,41.25,41.25,0,0,1
FINNIFTY13FEB2421250CE.NFO,2024-02-01,09:38:00,2024-02-13,41.25,41.25,41.25,41.25,0,0,1
FINNIFTY13FEB2421250CE.NFO,2024-02-01,09:39:00,2024-02-13,41.25,41.25,41.25,41.25,0,0,1
FINNIFTY13FEB2421250CE.NFO,2024-02-01,09:40:00,2024-02-13,41.25,41.25,41.25,41.25,0,0,1
FINNIFTY13FEB2421250CE.NFO,2024-02-01,09:41:00,2024-02-13,41.25,41.25,41.25,41.25,0,0,1
FINNIFTY13FEB2421250CE.NFO,2024-02-01,09:42:00,2024-02-13,41.25,41.25,41.25,41.25,0,0,1
FINNIFTY13FEB2421250CE.NFO,2024-02-01,09:43:00,2024-02-13,41.25,41.25,41.25,41.25,0,0,1
FINNIFTY13FEB2421250CE.NFO,2024-02-01,09:44:00,2024-02-13,41.25,41.25,41.25,41.25,0,0,1
FINNIFTY13FEB2421250CE.NFO,2024-02-01,09:45:00,2024-02-13,41.25,41.25,41.25,41.25,0,0,1
FINNIFTY13FEB2421250CE.NFO,2024-02-01,09:46:00,2024-02-13,41.25,41.25,41.25,41.25,0,0,1
FINNIFTY13FEB2421250CE.NFO,2024-02-01,09:47:00,2024-02-13,41.25,41.25,41.25,41.25,0,0,1
FINNIFTY13FEB2421250CE.NFO,2024-02-01,09:48:00,2024-02-13,41.25,41.25,41.25,41.25,0,0,1
FINNIFTY13FEB2421250CE.NFO,2024-02-01,09:49:00,2024-02-13,41.25,41.25,41.25,41.25,0,0,1
FINNIFTY13FEB2421250CE.NFO,2024-02-01,09:50:00,2024-02-13,41.25,41.25,41.25,41.25,0,0,1
FINNIFTY13FEB2421250CE.NFO,2024-02-01,09:51:00,2024-02-13,41.25,41.25,41.25,41.25,0,0,1
FINNIFTY13FEB2421250CE.NFO,2024-02-01,09:52:00,2024-02-13,41.25,41.25,41.25,41.25,0,0,1
FINNIFTY13FEB2421250CE.NFO,2024-02-01,09:53:00,2024-02-13,41.25,41.25,41.25,41.25,0,0,1
FINNIFTY13FEB2421250CE.NFO,2024-02-01,09:54:00,2024-02-13,41.25,41.25,41.25,41.25,0,0,1
FINNIFTY13FEB2421250CE.NFO,2024-02-01,09:55:00,2024-02-13,41.25,41.25,41.25,41.25,0,0,1
FINNIFTY13FEB2421250CE.NFO,2024-02-01,09:56:00,2024-02-13,41.25,41.25,41.25,41.25,0,0,1
FINNIFTY13FEB2421250CE.NFO,2024-02-01,09:57:00,2024-02-13,41.25,41.25,41.25,41.25,0,0,1
FINNIFTY13FEB2421250CE.NFO,2024-02-01,09:58:00,2024-02-13,41.25,41.25,41.25,41.25,0,0,1
FINNIFTY13FEB2421250CE.NFO,2024-02-01,09:59:00,2024-02-13,41.25,41.25,41.25,41.25,0,0,1
FINNIFTY13FEB2421250CE.NFO,2024-02-01,10:00:00,2024-02-13,41.25,41.25,41.25,41.25,0,0,1
FINNIFTY13FEB2421250CE.NFO,2024-02-01,10:01:00,2024-02-13,41.25,41.25,41.25,41.25,0,0,1
FINNIFTY13FEB2421250CE.NFO,2024-02-01,10:02:00,2024-02-13,41.25,41.25,41.25,41.25,0,0,1
FINNIFTY13FEB2421250CE.NFO,2024-02-01,10:03:00,2024-02-13,41.25,41.25,41.25,41.25,0,0,1
FINNIFTY13FEB2421250CE.NFO,2024-02-01,10:04:00,2024-02-13,41.25,41.25,41.25,41.25,0,0,1
FINNIFTY13FEB2421250CE.NFO,2024-02-01,10:05:00,2024-02-13,41.25,41.25,41.25,41.25,0,0,1
FINNIFTY13FEB2421250CE.NFO,2024-02-01,10:06:00,2024-02-13,41.25,41.25,41.25,41.25,0,0,1
FINNIFTY13FEB2421250CE.NFO,2024-02-01,10:07:00,2024-02-13,41.25,41.25,41.25,41.25,0,0,1
FINNIFTY13FEB2421250CE.NFO,2024-02-01,10:08:00,2024-02-13,41.25,41.25,41.25,41.25,0,0,1
FINNIFTY13FEB2421250CE.NFO,2024-02-01,10:09:00,2024-02-13,41.25,41.25,41.25,41.25,0,0,1
FINNIFTY13FEB2421250CE.NFO,2024-02-01,10:10:00,2024-02-13,41.25,41.25,41.25,41.25,0,0,1
FINNIFTY13FEB2421250CE.NFO,2024-02-01,10:11:00,2024-02-13,41.25,41.25,41.25,41.25,0,0,1
FINNIFTY13FEB2421250CE.NFO,2024-02-01,10:12:00,2024-02-13,41.25,41.25,41.25,41.25,0,0,1
FINNIFTY13FEB2421250CE.NFO,2024-02-01,10:13:00,2024-02-13,41.25,41.25,41.25,41.25,0,0,1
FINNIFTY13FEB2421250CE.NFO,2024-02-01,10:14:00,2024-02-13,41.25,41.25,41.25,41.25,0,0,1
FINNIFTY13FEB2421250CE.NFO,2024-02-01,10:15:00,2024-02-13,41.25,41.25,41.25,41.25,0,0,1
FINNIFTY13FEB2421250CE.NFO,2024-02-01,10:16:00,2024-02-13,41.25,41.25,41.25,41.25,0,0,1
FINNIFTY13FEB2421250CE.NFO,2024-02-01,10:17:00,2024-02-13,41.25,41.25,41.25,41.25,0,0,1
FINNIFTY13FEB2421250CE.NFO,2024-02-01,10:18:00,2024-02-13,41.25,41.25,41.25,41.25,0,0,1
FINNIFTY13FEB2421250CE.NFO,2024-02-01,10:19:00,2024-02-13,41.25,41.25,41.25,41.25,0,0,1
FINNIFTY13FEB2421250CE.NFO,2024-02-01,10:20:00,2024-02-13,41.25,41.25,41.25,41.25,0,0,1
FINNIFTY13FEB2421250CE.NFO,2024-02-01,10:21:00,2024-02-13,41.25,41.25,41.25,41.25,0,0,1
FINNIFTY13FEB2421250CE.NFO,2024-02-01,10:22:00,2024-02-13,41.25,41.25,41.25,41.25,0,0,1
FINNIFTY13FEB2421250CE.NFO,2024-02-01,10:23:00,2024-02-13,41.25,41.25,41.25,41.25,0,0,1
FINNIFTY13FEB2421250CE.NFO,2024-02-01,10:24:00,2024-02-13,41.25,41.25,41.25,41.25,0,0,1
FINNIFTY13FEB2421250CE.NFO,2024-02-01,10:25:00,2024-02-13,41.25,41.25,41.25,41.25,0,0,1
FINNIFTY13FEB2421250CE.NFO,2024-02-01,10:26:00,2024-02-13,41.25,41.25,41.25,41.25,0,0,1
FINNIFTY13FEB2421250CE.NFO,2024-02-01,10:27:00,2024-02-13,41.25,41.25,41.25,41.25,0,0,1
FINNIFTY13FEB2421250CE.NFO,2024-02-01,10:28:00,2024-02-13,41.25,41.25,41.25,41.25,0,0,1
FINNIFTY13FEB2421250CE.NFO,2024-02-01,10:29:00,2024-02-13,41.25,41.25,41.25,41.25,0,0,1
FINNIFTY13FEB2421250CE.NFO,2024-02-01,10:30:00,2024-02-13,41.25,41.25,41.25,41.25,0,0,1
FINNIFTY13FEB2421250CE.NFO,2024-02-01,10:31:00,2024-02-13,41.25,41.25,41.25,41.25,0,0,1
FINNIFTY13FEB2421250CE.NFO,2024-02-01,10:32:00,2024-02-13,41.25,41.25,41.25,41.25,0,0,1
FINNIFTY13FEB2421250CE.NFO,2024-02-01,10:33:00,2024-02-13,41.25,41.25,41.25,41.25,0,0,1
FINNIFTY13FEB2421250CE.NFO,2024-02-01,10:34:00,2024-02-13,41.25,41.25,41.25,41.25,0,0,1
FINNIFTY13FEB2421250CE.NFO,2024-02-01,10:35:00,2024-02-13,41.25,41.25,41.25,41.25,0,0,1
FINNIFTY13FEB2421250CE.NFO,2024-02-01,10:36:00,2024-02-13,41.25,41.25,41.25,41.25,0,0,1
FINNIFTY13FEB2421250CE.NFO,2024-02-01,10:37:00,2024-02-13,41.25,41.25,41.25,41.25,0,0,1
FINNIFTY13FEB2421250CE.NFO,2024-02-01,10:38:00,2024-02-13,41.25,41.25,41.25,41.25,0,0,1
FINNIFTY13FEB2421250CE.NFO,2024-02-01,10:39:00,2024-02-13,41.25,41.25,41.25,41.25,0,0,1
FINNIFTY13FEB2421250CE.NFO,2024-02-01,10:40:00,2024-02-13,41.25,41.25,41.25,41.25,0,0,1
FINNIFTY13FEB2421250CE.NFO,2024-02-01,10:41:00,2024-02-13,41.25,41.25,41.25,41.25,0,0,1
FINNIFTY13FEB2421250CE.NFO,2024-02-01,10:42:00,2024-02-13,41.25,41.25,41.25,41.25,0,0,1
FINNIFTY13FEB2421250CE.NFO,2024-02-01,10:43:00,2024-02-13,41.25,41.25,41.25,41.25,0,0,1
FINNIFTY13FEB2421250CE.NFO,2024-02-01,10:44:00,2024-02-13,41.25,41.25,41.25,41.25,0,0,1
FINNIFTY13FEB2421250CE.NFO,2024-02-01,10:45:00,2024-02-13,41.25,41.25,41.25,41.25,0,0,1
FINNIFTY13FEB2421250CE.NFO,2024-02-01,10:46:00,2024-02-13,41.25,41.25,41.25,41.25,0,0,1
FINNIFTY13FEB2421250CE.NFO,2024-02-01,10:47:00,2024-02-13,41.25,41.25,41.25,41.25,0,0,1
FINNIFTY13FEB2421250CE.NFO,2024-02-01,10:48:00,2024-02-13,41.25,41.25,41.25,41.25,0,0,1
FINNIFTY13FEB2421250CE.NFO,2024-02-01,10:49:00,2024-02-13,41.25,41.25,41.25,41.25,0,0,1
FINNIFTY13FEB2421250CE.NFO,2024-02-01,10:50:00,2024-02-13,41.25,41.25,41.25,41.25,0,0,1
FINNIFTY13FEB2421250CE.NFO,2024-02-01,10:51:00,2024-02-13,41.25,41.25,41.25,41.25,0,0,1
FINNIFTY13FEB2421250CE.NFO,2024-02-01,10:52:00,2024-02-13,41.25,41.25,41.25,41.25,0,0,1
FINNIFTY13FEB2421250CE.NFO,2024-02-01,10:53:00,2024-02-13,41.25,41.25,41.25,41.25,0,0,1
FINNIFTY13FEB2421250CE.NFO,2024-02-01,10:54:00,2024-02-13,41.25,41.25,41.25,41.25,0,0,1
FINNIFTY13FEB2421250CE.NFO,2024-02-01,10:55:00,2024-02-13,41.25,41.25,41.25,41.25,0,0,1
FINNIFTY13FEB2421250CE.NFO,2024-02-01,10:56:00,2024-02-13,41.25,41.25,41.25,41.25,0,0,1
FINNIFTY13FEB2421250CE.NFO,2024-02-01,10:57:00,2024-02-13,41.25,41.25,41.25,41.25,0,0,1
FINNIFTY13FEB2421250CE.NFO,2024-02-01,10:58:00,2024-02-13,41.25,41.25,41.25,41.25,0,0,1
FINNIFTY13FEB2421250CE.NFO,2024-02-01,10:59:00,2024-02-13,41.25,41.25,41.25,41.25,0,0,1
FINNIFTY13FEB2421250CE.NFO,2024-02-01,11:00:00,2024-02-13,41.25,41.25,41.25,41.25,0,0,1
FINNIFTY13FEB2421250CE.NFO,2024-02-01,11:01:00,2024-02-13,41.25,41.25,41.25,41.25,0,0,1
FINNIFTY13FEB2421250CE.NFO,2024-02-01,11:02:00,2024-02-13,41.25,41.25,41.25,41.25,0,0,1
FINNIFTY13FEB2421250CE.NFO,2024-02-01,11:03:00,2024-02-13,41.25,41.25,41.25,41.25,0,0,1
FINNIFTY13FEB2421250CE.NFO,2024-02-01,11:04:00,2024-02-13,41.25,41.25,41.25,41.25,0,0,1
FINNIFTY13FEB2421250CE.NFO,2024-02-01,11:05:00,2024-02-13,41.25,41.25,41.25,41.25,0,0,1
FINNIFTY13FEB2421250CE.NFO,2024-02-01,11:06:00,2024-02-13,41.25,41.25,41.25,41.25,0,0,1
FINNIFTY13FEB2421250CE.NFO,2024-02-01,11:07:00,2024-02-13,41.25,41.25,41.25,41.25,0,0,1
FINNIFTY13FEB2421250CE.NFO,2024-02-01,11:08:00,2024-02-13,41.25,41.25,41.25,41.25,0,0,1
FINNIFTY13FEB2421250CE.NFO,2024-02-01,11:09:00,2024-02-13,41.25,41.25,41.25,41.25,0,0,1
FINNIFTY13FEB2421250CE.NFO,2024-02-01,11:10:00,2024-02-13,41.25,41.25,41.25,41.25,0,0,1
FINNIFTY13FEB2421250CE.NFO,2024-02-01,11:11:00,2024-02-13,41.25,41.25,41.25,41.25,0,0,1
FINNIFTY13FEB2421250CE.NFO,2024-02-01,11:12:00,2024-02-13,41.25,41.25,41.25,41.25,0,0,1
FINNIFTY13FEB2421250CE.NFO,2024-02-01,11:13:00,2024-02-13,41.25,41.25,41.25,41.25,0,0,1
FINNIFTY13FEB2421250CE.NFO,2024-02-01,11:14:00,2024-02-13,41.25,41.25,41.25,41.25,0,0,1
FINNIFTY13FEB2421250CE.NFO,2024-02-01,11:15:00,2024-02-13,41.25,41.25,41.25,41.25,0,0,1
FINNIFTY13FEB2421250CE.NFO,2024-02-01,11:16:00,2024-02-13,41.25,41.25,41.25,41.25,0,0,1
FINNIFTY13FEB2421250CE.NFO,2024-02-01,11:17:00,2024-02-13,41.25,41.25,41.25,41.25,0,0,1
FINNIFTY13FEB2421250CE.NFO,2024-02-01,11:18:00,2024-02-13,41.25,41.25,41.25,41.25,0,0,1
FINNIFTY13FEB2421250CE.NFO,2024-02-01,11:19:00,2024-02-13,41.25,41.25,41.25,41.25,0,0,1
FINNIFTY13FEB2421250CE.NFO,2024-02-01,11:20:00,2024-02-13,41.25,41.25,41.25,41.25,0,0,1
FINNIFTY13FEB2421250CE.NFO,2024-02-01,11:21:00,2024-02-13,41.25,41.25,41.25,41.25,0,0,1
FINNIFTY13FEB2421250CE.NFO,2024-02-01,11:22:00,2024-02-13,41.25,41.25,41.25,41.25,0,0,1
FINNIFTY13FEB2421250CE.NFO,2024-02-01,11:23:00,2024-02-13,41.25,41.25,41.25,41.25,0,0,1
FINNIFTY13FEB2421250CE.NFO,2024-02-01,11:24:00,2024-02-13,41.25,41.25,41.25,41.25,0,0,1
FINNIFTY13FEB2421250CE.NFO,2024-02-01,11:25:00,2024-02-13,41.25,41.25,41.25,41.25,0,0,1
FINNIFTY13FEB2421250CE.NFO,2024-02-01,11:26:00,2024-02-13,41.25,41.25,41.25,41.25,0,0,1
FINNIFTY13FEB2421250CE.NFO,2024-02-01,11:27:00,2024-02-13,41.25,41.25,41.25,41.25,0,0,1
FINNIFTY13FEB2421250CE.NFO,2024-02-01,11:28:00,2024-02-13,41.25,41.25,41.25,41.25,0,0,1
FINNIFTY13FEB2421250CE.NFO,2024-02-01,11:29:00,2024-02-13,41.25,41.25,41.25,41.25,0,0,1
FINNIFTY13FEB2421250CE.NFO,2024-02-01,11:30:00,2024-02-13,41.25,41.25,41.25,41.25,0,0,1
FINNIFTY13FEB2421250CE.NFO,2024-02-01,11:31:00,2024-02-13,41.25,41.25,41.25,41.25,0,0,1
FINNIFTY13FEB2421250CE.NFO,2024-02-01,11:32:00,2024-02-13,41.25,41.25,41.25,41.25,0,0,1
FINNIFTY13FEB2421250CE.NFO,2024-02-01,11:33:00,2024-02-13,41.25,41.25,41.25,41.25,0,0,1
FINNIFTY13FEB2421250CE.NFO,2024-02-01,11:34:00,2024-02-13,41.25,41.25,41.25,41.25,0,0,1
FINNIFTY13FEB2421250CE.NFO,2024-02-01,11:35:00,2024-02-13,41.25,41.25,41.25,41.25,0,0,1
FINNIFTY13FEB2421250CE.NFO,2024-02-01,11:36:00,2024-02-13,41.25,41.25,41.25,41.25,0,0,1
FINNIFTY13FEB2421250CE.NFO,2024-02-01,11:37:00,2024-02-13,41.25,41.25,41.25,41.25,0,0,1
FINNIFTY13FEB2421250CE.NFO,2024-02-01,11:38:00,2024-02-13,41.25,41.25,41.25,41.25,0,0,1
FINNIFTY13FEB2421250CE.NFO,2024-02-01,11:39:00,2024-02-13,41.25,41.25,41.25,41.25,0,0,1
FINNIFTY13FEB2421250CE.NFO,2024-02-01,11:40:00,2024-02-13,41.25,41.25,41.25,41.25,0,0,1
FINNIFTY13FEB2421250CE.NFO,2024-02-01,11:41:00,2024-02-13,41.25,41.25,41.25,41.25,0,0,1
FINNIFTY13FEB2421250CE.NFO,2024-02-01,11:42:00,2024-02-13,41.25,41.25,41.25,41.25,0,0,1
FINNIFTY13FEB2421250CE.NFO,2024-02-01,11:43:00,2024-02-13,41.25,41.25,41.25,41.25,0,0,1
FINNIFTY13FEB2421250CE.NFO,2024-02-01,11:44:00,2024-02-13,41.25,41.25,41.25,41.25,0,0,1
FINNIFTY13FEB2421250CE.NFO,2024-02-01,11:45:00,2024-02-13,41.25,41.25,41.25,41.25,0,0,1
FINNIFTY13FEB2421250CE.NFO,2024-02-01,11:46:00,2024-02-13,41.25,41.25,41.25,41.25,0,0,1
FINNIFTY13FEB2421250CE.NFO,2024-02-01,11:47:00,2024-02-13,41.25,41.25,41.25,41.25,0,0,1
FINNIFTY13FEB2421250CE.NFO,2024-02-01,11:48:00,2024-02-13,41.25,41.25,41.25,41.25,0,0,1
FINNIFTY13FEB2421250CE.NFO,2024-02-01,11:49:00,2024-02-13,41.25,41.25,41.25,41.25,0,0,1
FINNIFTY13FEB2421250CE.NFO,2024-02-01,11:50:00,2024-02-13,41.25,41.25,41.25,41.25,0,0,1
FINNIFTY13FEB2421250CE.NFO,2024-02-01,11:51:00,2024-02-13,41.25,41.25,41.25,41.25,0,0,1
FINNIFTY13FEB2421250CE.NFO,2024-02-01,11:52:00,2024-02-13,41.25,41.25,41.25,41.25,0,0,1
FINNIFTY13FEB2421250CE.NFO,2024-02-01,11:53:00,2024-02-13,41.25,41.25,41.25,41.25,0,0,1
FINNIFTY13FEB2421250CE.NFO,2024-02-01,11:54:00,2024-02-13,41.25,41.25,41.25,41.25,0,0,1
FINNIFTY13FEB2421250CE.NFO,2024-02-01,11:55:00,2024-02-13,41.25,41.25,41.25,41.25,0,0,1
FINNIFTY13FEB2421250CE.NFO,2024-02-01,11:56:00,2024-02-13,41.25,41.25,41.25,41.25,0,0,1
FINNIFTY13FEB2421250CE.NFO,2024-02-01,11:57:00,2024-02-13,41.25,41.25,41.25,41.25,0,0,1
FINNIFTY13FEB2421250CE.NFO,2024-02-01,11:58:00,2024-02-13,41.25,41.25,41.25,41.25,0,0,1
FINNIFTY13FEB2421250CE.NFO,2024-02-01,11:59:00,2024-02-13,41.25,41.25,41.25,41.25,0,0,1
FINNIFTY13FEB2421250CE.NFO,2024-02-01,12:00:00,2024-02-13,41.25,41.25,41.25,41.25,0,0,1
